Portugues,Alemao
que,was
não,nein
de,in
você,Sie
eu,ich
um,a
para,zum
se,wenn
está,es ist
uma,eines
com,mit
me,mich
por,pro
ele,er
isso,das
em,in
do,von
bem,Gut
mas,aber
como,wie
da,gibt
os,Sie
no,Bei der
aqui,hier
na,bei
sim,Ja
ela,Ist es dort drüben?
mais,die meisten
tem,hat
meu,Mine
seu,dein
vai,gehen
as,bei
muito,viel
vamos,wir werden
foi,er war
estou,Ich bin
sua,dein
tudo,alle
só,nur
minha,mein
agora,jetzt
pode,er kann
te,Sie
então,dann
vou,ich gehe
sei,kennt
fazer,machen
quando,Wann
ser,sein
nós,wir
tenho,haben
quer,Möchtest du
nos,uns
certo,Rechts
eles,sie
já,schon
sabe,Du weisst
quem,wer
estava,war
nada,irgendetwas
era,war
onde,Wo
lá,dort
quero,Ich will
ao,zu
ou,oder
sou,Ich bin
disse,sagte
bom,Gut
há,Es gibt
posso,ich kann
são,sind
ter,haben
dizer,sagen
mim,mich
porque,warum
pra,zum
acho,denken
coisa,Ding
mesmo,gleich
estão,sie sind
sobre,um
todos,alle
até,bis zu
lo,es
cara,Gesicht
nunca,Niemals
quê,was
assim,Also
tempo,Zeit
algo,etwas
esse,das
isto,Dies
essa,Dass
casa,Haus
ver,um zu sehen
vocês,Sie
favor,favorisieren
temos,wir haben
dos,Aus
também,Auch
ainda,still
deus,Gott
ir,gehen
noite,Nacht
tão,Also
obrigado,Danke
sem,ohne
melhor,Beste
dia,Tag
esta,es ist
estamos,wir sind
talvez,vielleicht
pai,Papa
alguém,jemand
senhor,Herr
vida,Leben
anos,Jahre alt
mãe,Mutter
este,Dieses
sr,HERR
sempre,je
vez,drehen
verdade,Wahrheit
dele,seine
seus,ihr
ficar,bleibe
parece,sieht aus
aí,dort
preciso,brauchen
falar,sprechen
oh,Oh
coisas,Sachen
nem,Noch
homem,Männer
depois,später
claro,klar
pelo,Pelz
antes,Vor
fazendo,Herstellung
tinha,hatte
lhe,ihn
boa,Gut
faz,tut
dois,zwei
pessoas,Personen
pouco,wenig
ei,Hey
deve,er muss
acha,er denkt
qual,die
todo,alle
la,dort
lugar,Platz
fora,außen
apenas,nur
estar,sein
ninguém,niemand
fez,tat
disso,davon
trabalho,Arbeit
precisa,brauchen
comigo,mit mir
das,von
dar,geben
alguma,etwas
saber,kennt
novo,Neu
mundo,Welt
desculpe,Verzeihung
hoje,heute
nome,Name
seja,sein
queria,ich wollte
vá,gehen
sinto,ich fühle
dinheiro,Geld
podemos,wir können
diga,sagen
grande,Großartig
filho,Sohn
suas,dein
quanto,wie viel
nossa,Wow
deixe,verlassen
vão,Sie gehen
pela,für die
outro,Sonstiges
qualquer,irgendein
será,es wird sein
meus,mein
poderia,könnte
ok,OK
nosso,unser
oi,Hi
hora,Stunde
outra,Sonstiges
dela,Sie
certeza,Sicherheit
sair,hinausgehen
olá,Hallo
problema,Problem
carro,Wagen
daqui,von hier
mulher,Frauen
toda,alle
merda,Scheisse
algum,irgendein
volta,Rückkehr
espere,Warten
falando,sprechen
sabia,du wusstest
amigo,Freund
aconteceu,es passierte
menos,nicht weniger
olhe,sehen
tipo,Typ
faça,Messer
venha,Kommen Sie
diz,es sagt
três,drei
ótimo,Ausgezeichnet
obrigada,Vielen Dank
vezes,mal
vi,gesehen
primeiro,Erste
atrás,der Rücken
voltar,Komm zurück
sério,wirklich
entre,zwischen
tenha,Sie haben
deveria,es sollte
realmente,Ja wirklich
ah,Ah
seria,wäre
às,bei
embora,obwohl
olha,sehen
vê,sehen
parte,Teil
viu,es sah
vem,er kommt
todas,alle
aquele,Das hier
fique,bleibe
los,Los
deixar,verlassen
ajudar,Hilfe
amor,Liebe
dentro,Innerhalb
dê,in
pensei,ich dachte
cabeça,Kopf
família,Familie
duas,zwei
gente,Personen
frente,Vorderseite
pare,Halt
querida,Schatz
feliz,glücklich
dias,Tage
nas,in dem
indo,gehen
lado,Seite
fui,ich ging
podem,Sie können
gosto,Geschmack
homens,Männer
mal,Schlecht
matar,töten
nenhum,keiner
dá,von dem
fiz,Ich tat
precisamos,Wir brauchen
pegar,nehmen
somos,sind
cidade,Stadt
tarde,Nachmittag
fosse,war
alguns,etwas
legal,Kalt
amigos,Freunde
têm,hat
garota,Mädchen
meio,ziemlich
deles,ihr
logo,demnächst
rápido,schnell
amanhã,Morgen
momento,Zeit
gostaria,möchten
medo,Furcht
caso,Fall
num,Auf eins
foram,war
importa,es ist wichtig
tanto,so sehr
horas,Std.
porta,Tür
tentando,versuchen
irmão,Bruder
outros,Andere
entrar,Einloggen
desde,seit
ali,dort
minhas,mein
amo,Meister
jeito,Weg
minutos,Minute
cada,jeder
morto,tot
vejo,Aha
enquanto,Während
quase,fast
errado,falsch
pessoa,Person
algumas,etwas
ajuda,Hilfe
demais,zu viel
nova,Neu
história,Geschichte
perto,nahe
fica,bleibe
aquela,Das hier
tá,OK
dizendo,Sprichwort
semana,Woche
garoto,Junge
deu,Er gab
encontrar,Treffen
papai,Papa
pessoal,Leute
contra,gegen
sorte,Glück
cima,oben
droga,verdammt
primeira,Erste
nisso,darin
esses,Diese
quiser,er möchte
morte,Tod
essas,diese
idéia,Idee
achei,ich fand
morrer,sterben
espero,ich erwarte
caminho,Weg
polícia,Polizei
sente,Gefühl
arma,Waffe
manhã,Morgen
aos,zum
acabou,beendet
quarto,Schlafzimmer
crianças,Kinder
ano,Jahr
levar,nehmen
pronto,bereit
forma,bilden
acredito,Ich glaube
espera,Warten
for,entweder
chegar,ankommen
juntos,zusammen
gosta,er mag
cuidado,Vorsicht
uns,etwas
tive,ich hatte
pensar,denken
numa,in
razão,Grund
veja,Aussehen
feito,erledigt
devia,sollte
mãos,Hände
teve,hatte
consigo,ich kann
elas,sie
sido,ist gewesen
conta,Konto
contar,erzählen
chefe,Chef
olhos,Augen
filha,Tochter
ia,IA
difícil,schwierig
idiota,Dummkopf
significa,meint
entendo,Ich verstehe
dr,DR
deixa,er verlässt
vindo,Kommen
ouvir,hören
passar,passieren
acontecendo,Ereignis
sangue,Blut
vir,Komm
fim,Das Ende
mamãe,Mama
devo,verdanken
esposa,Ehefrau
lembra,denken Sie daran
mesma,gleich
veio,er kam
última,letzte
problemas,Probleme
jogo,passen
guerra,Krieg
água,Wasser
parar,stoppen
nossos,unsere
teria,es hätte
importante,wichtig
mão,Hand
querem,wollen
sra,Frau
pensando,Denken
boca,Mund
coração,Herz
tal,eine solche
única,nur
escola,Schule
exatamente,exakt
corpo,Karosserie
conhece,du weißt
podia,könnte
poder,Energie
tentar,Versuchen
licença,Lizenz
nenhuma,keiner
causa,weil
havia,es gab
fala,spricht
ficou,blieb
ouvi,I habe gehört
digo,ich sage
faço,Ich tue
longe,weit weg
terra,Erde
começar,anfangen
saia,geh raus
jack,Jack
ontem,gestern
tivesse,haben
porra,Sperma
segundo,zweite
pois,dann
velho,alt
maior,größer
capitão,Kapitän
cinco,fünf
matou,getötet
tirar,werfen
querido,Liebling
diabos,Hölle
senhora,Dame
sendo,Sein
chance,Chance
morreu,er starb
marido,Ehemann
usar,benutzen
número,Nummer
meses,Monate
pegue,Nimm es
esperar,Warten
conheço,Ich weiss
preocupe,Sorge
comer,Essen
esperando,warten
cá,hier
festa,Party
estranho,seltsam
mulheres,Frauen
trabalhar,arbeiten
prazer,Vergnügen
houve,dort war
aquilo,Das hier
telefone,Telefon
sabemos,Wir wissen
consegue,es erreicht
muita,viele
deixou,er ging
irá,Wille
pergunta,Frage
filhos,Söhne
john,John
segurança,Sicherheit
tomar,nehmen
fácil,einfach
conseguir,erhalten
esteja,ist
dormir,schlafen
bastante,ziemlich
desse,davon
quatro,vier
dessa,davon
possa,wahrscheinlich
mil,tausend
pais,Land
calma,Ruhe
muitos,Viele
café,Kaffee